GeneID,log2 FC,log10 p-value
DPEP3,2.692292316,-1.43055359
DRAIC,3.779605189,-1.513847655
DTX3L,1.079230356,-1.789165751
DUSP18,1.388626251,-2.830102043
DUX4L50,2.11700562,-1.414356639
DYRK3,1.189024801,-1.774854017
EFCAB8,1.678050131,-3.220250386
EFNA3,1.237307099,-1.998729439
EIF4A2P1,1.332267344,-1.944481815
ELMOD2,1.076234445,-3.20165229
ELOVL5,1.229943532,-1.545212958
ENTPD1,1.405678406,-1.700387586
EPB42,2.015461446,-1.575461684
EPHB1,3.007858551,-1.346933448
EPN2,1.363786875,-3.873483381
ERI2,1.203383022,-1.30717737
ESPN,2.09926517,-2.449175578
EXOSC3,1.173143177,-2.851796154
FAM122A,1.003862594,-1.704171104
FAM126B,1.276912871,-1.96972162
FAM13A-AS1,1.026920083,-2.012317004
FAM157A,2.990271983,-1.482052879
FAM157B,2.673370618,-1.551153587
FAM157C,2.284103297,-4.146617695
FAM185BP,1.221079478,-1.618524294
FAM200B,1.371834397,-1.342461717
FAM43A,2.12243938,-2.511050605
FAM71F2,1.198953174,-1.300384652
FAM8A1,1.555612344,-1.401858954
FANCF,1.115480552,-2.267441742
FAR2,1.298389236,-1.643423354
FASLG,1.596211197,-2.637879335
FBXO48,1.334138285,-1.843261139
FCGR1B,1.605332978,-1.70767408
FCGR3B,5.389083624,-1.41940915
FCHO2,1.460505265,-2.083514877
FFAR2,2.759716847,-1.363988651
FGL2,1.350987002,-2.440515554
FHDC1,3.652369402,-1.361341517
FIGNL2,1.892569823,-1.372617315
FKBP8,1.765527587,-1.430479528
FLCN,1.138180245,-2.025725828
FLT3LG,1.181894899,-1.457550324
FPGT,1.079385583,-2.001551629
FRAT1,1.944341707,-1.401011498
FRRS1,1.240224547,-2.05659216
FRY,1.2461941,-1.508559325
GAB1,1.273082081,-2.329202291
GALNT14,2.912684364,-1.69942387
GALNT3,1.090349109,-1.713749486
GALNT7,1.230771516,-2.960905453
GAPT,2.083563162,-1.598027285
GATA1,2.413389478,-2.079327104
GBP1,1.246599054,-2.130177416
GEMIN6,1.001006399,-2.072348362
GHRL,2.350568986,-1.917584497
GIMAP1,1.076664652,-3.490190531
