GeneID;log2 FC;log10 p-value
AC009961,1;0,473847044;-0,502098398
AC009961,3;-0,082427239;-0,256390076
AC009962,1;-0,459530749;-0,480994753
AC009974,1;0,058774418;-0,032284681
AC009996,1;-0,347164966;-1,380108908
AC010132,4;0,110050221;-0,131895968
AC010168,2;-0,026286023;-0,087109245
AC010175,1;-0,914800917;-0,857833115
AC010186,2;0,007203833;-0,016133543
AC010186,3;-0,242199916;-0,467917773
AC010203,1;0,323898472;-0,64948636
AC010210,1;0,24339265;-0,677055184
AC010226,1;0,062228391;-0,036748088
AC010245,2;-0,693498079;-1,636148124
AC010247,1;0,550129962;-0,794701818
AC010247,2;-0,630224447;-1,052623784
AC010326,4;0,174947024;-0,410994337
AC010327,6;-0,309544453;-1,063223782
AC010327,7;-0,326036954;-0,197885502
AC010327,8;0,638200422;-0,364864733
AC010331,1;0,576109519;-0,673606644
AC010332,3;0,092481187;-0,088368096
AC010343,1;0,462061241;-0,796980183
AC010359,3;0,002706127;-0,003362304
AC010422,3;-1,150366457;-0,340109706
AC010422,4;-1,49832485;-1,37863527
AC010422,8;0,083993006;-0,43862089
AC010463,3;-0,35071196;-0,250990602
AC010491,1;0,135272257;-0,123858024
AC010501,2;-0,475631323;-0,142820323
AC010503,4;0,980546826;-0,973126375
AC010530,1;0,367025762;-0,275634743
AC010531,6;1,65925584;-1,520722621
AC010536,1;0,221031694;-0,479953075
AC010536,2;-0,368310607;-0,493981351
AC010542,3;-0,600172883;-0,147864003
AC010615,1;0,566775445;-1,172343005
AC010618,3;-0,429986111;-0,63409955
AC010619,2;0,399603108;-2,228412981
AC010623,1;0,7660665;-0,905390218
AC010624,3;0,630522891;-1,358730242
AC010642,2;0,113318303;-0,1506432
AC010654,1;0,148104955;-0,16311275
AC010680,2;0,632993824;-0,864559913
AC010680,3;1,53019163;-2,355014456
AC010680,4;1,090063698;-1,615187298
AC010680,5;-1,109340763;-0,297213291
AC010754,1;0,714484078;-0,338056827
AC010761,1;-0,787609215;-0,57522538
AC010809,2;-0,472583106;-0,460118357
AC010883,1;0,277636873;-1,269715567
AC010883,2;0,24440397;-0,188058217
AC010883,3;0,914247601;-1,099316681
AC010894,4;-0,179622369;-0,151958155
AC010896,1;-0,848705823;-0,799590974
AC010904,2;0,991904793;-1,462922404
AC010969,2;-0,177925969;-0,256144771
AC010973,2;0,299908779;-0,949548142
AC011322,1;-1,104221127;-0,79822528
AC011330,2;-1,662333548;-0,607209567
AC011337,1;0,277671252;-1,84338638
AC011346,1;-0,757458497;-0,695511519
AC011374,2;-0,064810912;-0,067200596
AC011379,2;0,497816427;-1,136819384
AC011416,3;-0,304668497;-0,217605221
