GeneID;log2 FC;log10 p-value
AC011346.1;1,778357337;-1,198543193
AC011374.2;0,849931528;-0,794485663
AC011379.2;-1,26193119;-1,493250829
AC011416.3;1,129784321;-0,660777804
AC011444.1;-0,814847169;-0,438125199
AC011445.1;1,664524997;-0,66415979
AC011446.2;-0,99017341;-0,584013186
AC011447.3;-1,914580808;-0,841821409
AC011447.7;2,137378132;-1,320032193
AC011448.1;0,2261204;-0,145595448
AC011450.1;0,920325543;-1,034897186
AC011461.1;-0,553193296;-0,416825161
AC011462.4;1,478754295;-0,93510023
AC011462.5;-0,467714934;-0,531217314
AC011468.1;1,084532348;-2,557480555
AC011468.5;1,176223597;-0,782543311
AC011472.2;1,85744995;-0,800644565
AC011476.3;0,81843343;-0,367762553
AC011477.1;0,770806228;-1,589048677
AC011479.3;0,835306468;-0,529790279
AC011481.1;1,483489267;-0,784275971
AC011484.1;-1,273037827;-0,87147276
AC011491.3;0,825179691;-0,391347664
AC011495.1;-2,86781998;-1,100418585
AC011497.2;-0,147173289;-0,168613468
AC011498.2;-0,534463063;-0,703139451
AC011498.6;-0,113216528;-0,08898328
AC011498.7;-0,373674917;-0,433509185
AC011511.1;1,205526646;-0,381174627
AC011511.2;-1,306232095;-0,66647398
AC011603.2;0,40339241;-0,348264694
AC011676.5;2,278416992;-1,471525107
AC011726.2;2,232699513;-1,453814981
AC011815.1;-0,041385528;-0,037682303
AC011815.2;1,342054795;-0,785777753
AC011816.1;3,264591525;-1,236887422
AC011825.4;-0,926395252;-0,718532411
AC011899.2;-0,148736304;-0,08012553
AC011912.1;0,216807027;-0,165141147
AC011933.2;2,4048334;-1,420947936
AC011939.1;0,084361267;-0,03388182
AC011939.3;-0,213643897;-0,371626493
AC011944.2;1,391991542;-1,583266668
AC011978.1;1,064071272;-0,538929852
AC012005.1;-2,147112542;-1,346424576
AC012020.1;1,288701862;-2,266956708
AC012063.1;0,419262637;-0,305710114
AC012065.2;0,829590401;-0,765729708
AC012065.3;-2,527053424;-1,265699862
AC012073.1;0,453090322;-0,477591608
AC012173.1;1,457503147;-1,1233263
AC012181.1;-1,588250298;-1,062284558
AC012181.2;-0,659392152;-0,650912373
AC012184.1;-0,054005572;-0,049397674
AC012184.3;1,220605459;-2,492506675
AC012184.4;0,493334496;-0,698013969
AC012236.1;-0,720976339;-0,275622792
AC012254.1;-0,41591933;-0,364977283
AC012306.2;0,30792611;-0,801605973
AC012306.3;1,219995044;-1,276611911
AC012313.1;0,776544254;-1,424229858
AC012313.10;0,642645866;-1,313904666
AC012313.2;-0,443842676;-0,398071728
AC012313.3;1,073155462;-0,790387309
AC012313.4;2,396454046;-1,850628293
AC012313.5;0,951918255;-0,79143222
AC012313.6;0,296999491;-0,11161267
AC012313.8;0,634749151;-0,50516918
AC012358.2;1,192006186;-0,528553288
AC012368.1;1,758492563;-1,212569988
AC012442.1;0,753963671;-0,513448731
AC012443.2;-0,0126249;-0,008168479
AC012467.2;0,838515055;-2,215299271
AC012507.1;0,657511807;-0,486329986
AC012511.1;0,698807007;-0,701154906
AC012513.3;0,893067062;-0,697348194
AC012557.2;0,960374804;-0,39109725
AC012615.1;-1,229417859;-1,345474503
AC012615.6;-1,114334715;-0,517280409
AC012618.3;0,946194688;-0,603701851
AC012640.2;-0,197054872;-0,114762872
AC012645.1;4,435495309;-1,55733891
AC012645.3;-0,321291977;-0,382245932
AC012651.1;1,23367937;-3,084232729
AC013394.1;1,297486993;-0,895648475
AC013403.2;0,452421472;-0,478818687
AC013460.1;-0,18076834;-0,135878856
AC013468.1;0,674213897;-0,806547388
AC013472.2;-0,156222721;-0,082365334
AC013474.1;-1,164481403;-0,700219876
AC013731.1;1,614813095;-2,093434673
AC015660.3;-0,693951024;-0,801796255
AC015660.4;1,29506974;-0,36229669
AC015712.2;1,540454426;-0,943713099
AC015712.6;-1,76133897;-0,434096464
AC015726.1;-0,351501346;-0,405525533
AC015799.1;0,721898671;-1,372894537
AC015802.4;2,755580684;-1,691029191
AC015802.6;4,086880473;-1,197342571
AC015802.7;0,057659981;-0,037112864
AC015813.1;-0,25850546;-0,502934024
AC015813.5;-0,087365547;-0,034481128
AC015813.6;0,055063029;-0,05771634
AC015819.1;0,886488646;-1,800093149
AC015819.2;2,087997482;-1,08517936
AC015871.3;1,563128906;-2,56884772
