GeneID,log2 FC,log10 p-value
B4GALNT3,-3.407227982,-1.33582452
BANF1P2,-1.9758079,-1.458989161
BCDIN3D-AS1,-1.766218802,-1.386942448
BEX3,-1.022789627,-1.708593651
BRCA1P1,-1.388278758,-1.458281255
BTBD6P1,-1.191066225,-3.212390081
C12orf60,-1.583629085,-1.499814526
C15orf54,-2.668921601,-2.572428331
C1orf50,-1.130293289,-1.792454483
CACYBPP2,-1.428469374,-1.334608884
CAPN5,-1.27193581,-1.688523216
CATSPER2P1,-1.444284029,-2.159445013
CCDC114,-1.848635459,-1.760120594
CD8B2,-1.574158782,-1.500372755
CDNF,-1.278110902,-1.436778621
CDS1,-1.428874455,-1.330293817
CHI3L2,-1.060138216,-1.407129745
CLIC3,-1.520382406,-1.5144688
CMTM8,-1.108008779,-1.342949316
COLQ,-1.417378951,-2.400085949
CYP1B1-AS1,-1.16687898,-1.859713818
CYP2D7,-2.444684694,-1.457656436
DACT1,-1.922388692,-1.489766872
DARS1-AS1,-1.234732083,-1.671438139
DEPDC7,-1.424684034,-1.693832401
