GeneID;PAT3 - female;CTRL3 -female;log2 FC;;;
AL021707.3;87313;16065;2,442275491;;;
CFAP45;62178;11475;2,437910058;;;
AC007342.8;80699;14917;2,435593376;;;
CSF2RB;13100000;2430000;2,430538593;;;
AC113410.4;18521;3442;2,427842993;;;
RAP1GAP;18521;3442;2,427842993;;;
AC012254.1;9260;1721;2,427765096;;;
AL139288.1;9260;1721;2,427765096;;;
AC007877.1;92605;17212;2,427675345;;;
AC009093.6;37042;6885;2,427633436;;;
SPCS2P4;27781;5164;2,427537625;;;
C5AR2;2530000;470468;2,426968882;;;
H2BC20P;447149;83766;2,416318961;;;
FAM118A;2730000;512351;2,41369654;;;
MIR223HG;5780000;1090000;2,406741358;;;
AC079921.2;21167;4016;2,397985636;;;
AP000692.1;21167;4016;2,397985636;;;
GK;1370000;262200;2,385436303;;;
AC097637.2;23813;4590;2,375183326;;;
KCNMA1;23813;4590;2,375183326;;;
AC010530.1;11906;2295;2,375122741;;;
AC027682.4;11906;2295;2,375122741;;;
AL078644.1;11906;2295;2,375122741;;;
AL355073.2;11906;2295;2,375122741;;;
ANKDD1B;11906;2295;2,375122741;;;
DDR2;11906;2295;2,375122741;;;
SNORD19;11906;2295;2,375122741;;;
TICRR;11906;2295;2,375122741;;;
USP32P2;11906;2295;2,375122741;;;
SLC45A4;2130000;413094;2,366311419;;;
CMTM1;189179;36719;2,365153276;;;
ISL2;76730;14917;2,362833335;;;
AL353708.3;52917;10327;2,357310063;;;
APOBEC3B;384972;75160;2,356716547;;;
AC007032.1;41011;8032;2,352179748;;;
AHSP;82021;16065;2,352072352;;;
LINC01001;357190;69996;2,351347306;;;
TGFA;321471;63112;2,34870235;;;
HAL;1830000;359736;2,346833201;;;
AL160272.1;99220;19507;2,346639036;;;
RNU7-40P;29104;5737;2,342849025;;;
RAB36;58209;11475;2,342748079;;;
AL355076.2;14552;2869;2,342597575;;;
MTCO2P11;14552;2869;2,342597575;;;
TRAJ27;14552;2869;2,342597575;;;
HOTAIRM1;308242;60817;2,341516894;;;
LGALSL;255325;50489;2,338293797;;;
AC092683.1;75407;14917;2,337741034;;;
LINC00671;75407;14917;2,337741034;;;
MBOAT7;75407;14917;2,337741034;;;
